,ISO 3166 Name,ISO 3166-1 Aplha Code 3,ISO 3166-1 Numeric Code
254,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
255,United States Minor Outlying Islands (the),UMI,581
256,United States of America (the),USA,840
258,Uruguay,URY,858
259,Uzbekistan,UZB,860
260,Vanuatu,VUT,548
262,Venezuela (Bolivarian Republic of),VEN,862
263,Viet Nam,VNM,704
264,Virgin Islands (British),VGB,92
265,Virgin Islands (U.S.),VIR,850
266,Wallis and Futuna,WLF,876
267,Western Sahara,ESH,732
268,Yemen,YEM,887
269,Zambia,ZMB,894
270,Zimbabwe,ZWE,716
