country_name,country_code,year,births_per_1000,death_by_injury_percentage,deaths_per_1000,births_per_woman,gini_index,hospital_beds_per_1000,female_life_expectancy,male_life_expectancy,neonatal_deaths_per_1000,annual_population_growth_percentage,population_in_slums_percentage,prenatal_care_percentage
Venezuela,VEN,1996,25.48,,4.8,3.02,,1.47,75.09,68.9,11.9,2.09,,
Argentina,ARG,1997,19.96,,7.41,2.71,49.1,,76.84,69.95,11.6,1.21,,
Antigua and Barbuda,ATG,1997,19.95,,6.84,2.19,,,77.3,70.78,11.0,2.05,,
Bahamas,BHS,1997,19.77,,6.56,2.29,,,75.33,68.14,8.3,1.5,,
Belize,BLZ,1997,30.6,,5.34,3.74,60.4,,71.73,66.93,13.5,3.34,,
Bolivia,BOL,1997,31.45,,10.18,4.22,58.1,,62.67,58.9,33.4,1.81,,
Brazil,BRA,1997,21.58,,6.39,2.47,59.8,,71.78,65.37,20.2,1.49,,
Barbados,BRB,1997,13.53,,9.06,1.64,,,76.78,71.05,9.1,0.04,,
Chile,CHL,1997,17.94,,5.19,2.2,,,78.91,72.7,6.3,1.34,,
Colombia,COL,1997,23.96,,5.48,2.74,,,74.87,66.61,14.9,1.79,,
Costa Rica,CRI,1997,21.48,,3.93,2.59,45.6,1.71,79.15,74.08,8.1,2.26,,
Cuba,CUB,1997,13.79,,7.26,1.59,,,77.22,73.05,4.7,0.33,,
Dominica,DMA,1997,19.09,,9.55,2.41,,,74.03,68.44,11.4,-0.16,,
Dominican Republic,DOM,1997,26.16,,5.56,2.92,48.9,,73.11,66.68,22.9,1.74,,
Ecuador,ECU,1997,27.11,,5.0,3.29,,,75.35,68.73,17.2,1.85,,
Grenada,GRD,1997,21.22,,7.15,2.8,,,75.31,69.91,7.9,0.68,,
Guatemala,GTM,1997,36.5,,7.02,4.91,,,68.58,62.11,23.1,2.56,,
Guyana,GUY,1997,28.76,,8.34,3.22,,,66.32,59.82,28.7,0.23,,
Honduras,HND,1997,35.65,,5.62,4.59,52.7,,69.73,65.5,18.7,2.8,,
Haiti,HTI,1997,33.57,,11.29,4.67,,,58.16,55.16,31.7,1.89,,
Jamaica,JAM,1997,23.13,,7.23,2.68,,,72.81,69.61,16.9,0.92,,99.0
St. Kitts and Nevis,KNA,1997,19.54,,10.2,2.3,,,70.43,65.28,16.9,1.28,,
St. Lucia,LCA,1997,23.75,,6.0,2.74,,,72.16,69.21,10.5,1.41,,
Mexico,MEX,1997,25.75,,5.56,2.89,,1.1,74.08,68.87,17.0,1.68,,
Nicaragua,NIC,1997,30.02,,6.23,3.47,,,68.55,62.42,18.3,1.67,,
Panama,PAN,1997,24.38,,4.97,2.81,58.1,,75.94,69.39,13.3,2.01,,
Peru,PER,1997,25.6,,6.0,3.1,53.3,,69.91,66.79,19.2,1.85,,
Paraguay,PRY,1997,29.56,,5.56,3.91,54.9,,71.47,67.19,19.2,2.25,,
El Salvador,SLV,1997,29.57,,6.56,3.38,,,71.17,61.39,17.3,0.67,,
Suriname,SUR,1997,25.76,,7.67,2.95,,,66.65,60.37,17.8,2.08,,
Trinidad and Tobago,TTO,1997,15.51,,6.78,1.83,,,70.62,65.66,20.3,0.38,,
Uruguay,URY,1997,17.02,,9.66,2.33,41.5,,78.12,69.89,9.1,0.53,,94.0
St. Vincent and the Grenadines,VCT,1997,20.72,,7.5,2.43,,,73.04,67.89,13.1,0.02,,
Venezuela,VEN,1997,25.06,,4.65,2.97,,,75.67,69.58,11.3,2.05,,
Argentina,ARG,1998,19.71,,7.6,2.66,50.7,,76.88,69.94,11.0,1.18,,
Antigua and Barbuda,ATG,1998,18.31,,6.64,2.02,,,77.52,70.83,11.0,1.89,,82.0
Bahamas,BHS,1998,19.08,,6.55,2.23,,,75.48,68.45,7.9,1.43,,
Belize,BLZ,1998,30.94,,5.48,3.75,54.9,,71.52,66.62,13.0,3.49,,98.0
Bolivia,BOL,1998,30.97,,10.01,4.15,,,63.2,59.35,32.0,1.77,,71.0
Brazil,BRA,1998,21.22,,6.36,2.42,59.6,,72.15,65.68,19.6,1.49,,
Barbados,BRB,1998,13.1,,8.93,1.62,,,77.13,71.63,9.0,0.02,,
Chile,CHL,1998,17.37,,5.09,2.15,55.5,,79.36,73.22,6.2,1.3,,
Colombia,COL,1998,23.63,,5.43,2.72,,,75.17,66.89,14.4,1.79,,
Costa Rica,CRI,1998,21.04,,3.91,2.53,45.6,1.68,79.45,74.3,7.9,2.17,,70.6
Cuba,CUB,1998,13.67,,7.21,1.62,,,77.67,73.31,4.4,0.33,,100.0
Dominica,DMA,1998,18.16,,9.56,2.32,,,74.16,68.64,11.8,-0.25,,
Dominican Republic,DOM,1998,25.34,,5.58,2.84,,,73.16,66.76,23.0,1.65,,
Ecuador,ECU,1998,26.62,,5.08,3.23,49.6,,75.13,68.82,16.1,1.81,,68.8
Grenada,GRD,1998,18.49,,7.14,2.49,,,75.49,70.08,7.8,0.68,,
Guatemala,GTM,1998,35.91,,6.72,4.8,49.4,,69.25,62.86,22.5,2.56,,
Guyana,GUY,1998,28.08,,8.05,3.18,45.1,,66.9,60.34,28.1,0.18,,90.0
Honduras,HND,1998,35.1,,7.89,4.47,57.3,,63.23,61.64,18.9,2.65,,
Haiti,HTI,1998,32.95,,10.99,4.56,,,58.7,55.56,30.9,1.86,,
Jamaica,JAM,1998,22.18,,7.15,2.57,,,72.86,69.48,16.6,0.86,,93.8
St. Kitts and Nevis,KNA,1998,19.51,,10.09,2.31,,,70.5,65.38,16.4,1.3,,
St. Lucia,LCA,1998,20.86,,6.02,2.4,,,72.0,69.18,10.7,1.37,,
Mexico,MEX,1998,25.12,,5.53,2.82,53.3,1.1,74.36,69.23,16.1,1.64,,
Nicaragua,NIC,1998,29.2,,6.91,3.34,54.4,,66.67,61.46,17.8,1.53,,84.9
Panama,PAN,1998,24.12,,4.94,2.79,57.3,,76.17,69.64,13.0,2.0,,72.2
Peru,PER,1998,24.92,,5.9,3.0,55.1,,70.37,67.14,17.9,1.82,,
Paraguay,PRY,1998,28.77,,5.48,3.8,,,71.72,67.4,18.7,2.18,,89.0
El Salvador,SLV,1998,29.39,,6.59,3.34,54.4,,71.33,61.99,16.5,0.62,,76.0
Suriname,SUR,1998,25.65,,7.78,2.99,,,66.96,60.71,17.4,2.06,,91.0
Trinidad and Tobago,TTO,1998,15.15,,6.78,1.78,,,70.92,65.74,20.1,0.34,,
Uruguay,URY,1998,16.57,,9.74,2.27,42.5,,78.23,69.99,8.8,0.49,,
St. Vincent and the Grenadines,VCT,1998,19.85,,7.67,2.35,,,72.97,67.76,13.2,0.03,,
Venezuela,VEN,1998,24.64,,4.76,2.91,48.0,,75.81,69.25,11.1,2.01,,
Argentina,ARG,1999,19.64,,7.58,2.64,49.8,,77.08,70.26,10.9,1.15,,
Antigua and Barbuda,ATG,1999,17.69,,6.45,1.96,,,77.86,70.99,10.9,1.72,,
Bahamas,BHS,1999,18.06,,6.52,2.13,,,75.67,68.83,7.8,1.34,,87.0
Belize,BLZ,1999,30.87,,5.5,3.73,53.2,,71.67,66.65,12.5,3.44,,95.9
Bolivia,BOL,1999,30.57,,9.88,4.09,58.0,,63.71,59.71,30.8,1.75,,
Brazil,BRA,1999,20.58,,6.3,2.34,59.0,,72.55,66.01,19.0,1.46,,
Barbados,BRB,1999,14.14,,8.99,1.78,,,77.22,71.78,8.9,0.03,,89.0
Chile,CHL,1999,16.66,,5.04,2.07,,,79.78,73.62,6.1,1.26,,
Colombia,COL,1999,22.89,,5.5,2.64,58.5,,75.18,66.87,14.0,1.74,,
Costa Rica,CRI,1999,20.74,,3.93,2.48,47.6,,79.67,74.46,7.8,2.07,,69.6
Cuba,CUB,1999,13.48,,7.24,1.64,,,78.05,73.56,4.2,0.34,,
Dominica,DMA,1999,19.03,,9.63,2.46,,,74.3,68.86,12.2,-0.37,,99.9
Dominican Republic,DOM,1999,25.4,,5.54,2.85,,,73.53,67.0,23.1,1.62,,99.2
Ecuador,ECU,1999,26.14,,5.16,3.17,58.6,,75.08,68.83,15.1,1.78,,
Grenada,GRD,1999,17.4,,7.16,2.39,,,75.63,70.2,7.8,0.68,,98.0
Guatemala,GTM,1999,35.22,,6.43,4.69,,,69.88,63.53,21.9,2.52,,64.1
Guyana,GUY,1999,27.2,,7.89,3.12,,,67.18,60.72,27.6,0.12,,
Honduras,HND,1999,34.56,,5.37,4.37,55.2,,70.22,65.94,18.2,2.63,,
Haiti,HTI,1999,32.43,,10.66,4.45,,,59.34,56.03,30.3,1.85,,
Jamaica,JAM,1999,21.19,,7.04,2.46,44.1,,72.96,69.43,16.4,0.78,,98.4
St. Kitts and Nevis,KNA,1999,18.93,,9.67,2.26,,,71.58,66.02,15.8,1.36,,
St. Lucia,LCA,1999,21.5,,6.25,2.5,,,72.46,68.81,11.1,1.3,,
Mexico,MEX,1999,24.64,,5.49,2.76,,1.1,74.71,69.69,15.2,1.6,,
Nicaragua,NIC,1999,28.48,,6.23,3.22,,,68.92,62.82,17.1,1.43,,
Panama,PAN,1999,23.82,,4.88,2.77,56.3,,76.37,70.08,12.6,1.98,,
Peru,PER,1999,24.33,,5.73,2.92,54.8,,71.0,67.67,16.8,1.73,,
Paraguay,PRY,1999,27.93,,5.4,3.67,54.6,,71.99,67.66,18.4,2.08,,
El Salvador,SLV,1999,28.33,,6.52,3.22,52.1,,72.01,62.57,15.5,0.56,,
Suriname,SUR,1999,25.55,,7.91,3.02,57.5,,67.26,61.08,17.1,2.06,,
Trinidad and Tobago,TTO,1999,15.02,,6.79,1.76,,,71.09,65.92,19.9,0.34,,
Uruguay,URY,1999,16.38,,9.67,2.25,,,78.52,70.21,8.6,0.45,,
St. Vincent and the Grenadines,VCT,1999,19.37,,7.77,2.31,,,73.07,67.78,13.2,0.16,,91.8
Venezuela,VEN,1999,24.23,,4.96,2.86,47.7,,75.44,68.89,11.1,1.95,,
Argentina,ARG,2000,19.33,6.99,7.57,2.59,51.0,4.1,77.29,70.5,11.1,1.13,20.29,
Antigua and Barbuda,ATG,2000,19.72,6.65,6.25,2.2,,,78.3,71.26,10.9,1.68,,99.9
Bahamas,BHS,2000,17.25,10.77,6.48,2.06,,3.23,75.9,69.23,7.9,1.31,,
Belize,BLZ,2000,30.21,18.37,5.57,3.63,,1.9,71.63,66.58,12.1,3.27,15.8,100.0
Bolivia,BOL,2000,29.85,8.53,9.74,3.99,61.6,,64.14,60.1,29.7,1.72,57.94,82.6
Brazil,BRA,2000,19.88,12.85,6.25,2.25,,2.78,72.96,66.35,18.1,1.38,34.74,
